Speaker,Age,Sex,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,AgreementNO,AgreementNN1,AgreementNN2,AgeF
4,18,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
4,18,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
4,18,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
4,18,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
5,17,male,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
5,17,male,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
5,17,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
5,17,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
5,17,male,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"[16,30]"
5,17,male,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
5,17,male,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
5,17,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
8,18,female,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"[16,30]"
15,16,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
15,16,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"[16,30]"
17,17,female,krank,masc,fem,GEN,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,gesund,fem,neut,GEN,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,traurig,neut,fem,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,voll,fem,masc,DAT,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,straff,fem,neut,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,blond,fem,masc,GEN,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,fleissig,masc,neut,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
18,16,male,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
18,16,male,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
18,16,male,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
18,16,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
18,16,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
18,16,male,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
18,16,male,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
18,16,male,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
18,16,male,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
18,16,male,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
18,16,male,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
18,16,male,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"[16,30]"
19,17,male,krank,masc,fem,GEN,non-initial,N2,NO,NN1,N2,"[16,30]"
19,17,male,gesund,fem,neut,GEN,initial,N2,NO,NN1,N2,"[16,30]"
19,17,male,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
19,17,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
19,17,male,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"[16,30]"
19,17,male,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"[16,30]"
19,17,male,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
19,17,male,blond,fem,masc,GEN,non-initial,N2,NO,NN1,N2,"[16,30]"
19,17,male,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
21,17,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"[16,30]"
21,17,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"[16,30]"
21,17,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
27,18,male,traurig,neut,fem,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
27,18,male,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"[16,30]"
27,18,male,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
27,18,male,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
27,18,male,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
27,18,male,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
27,18,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
28,18,male,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
28,18,male,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
28,18,male,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
28,18,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
28,18,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
28,18,male,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
28,18,male,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
28,18,male,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
28,18,male,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
28,18,male,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
28,18,male,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
28,18,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
29,27,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,fleissig,masc,neut,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
30,58,female,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"(30,70]"
30,58,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
30,58,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"(30,70]"
30,58,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
32,55,male,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
32,55,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"(30,70]"
32,55,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"(30,70]"
32,55,male,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,krank,masc,fem,GEN,non-initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
33,61,female,traurig,neut,fem,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,voll,fem,masc,DAT,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
33,61,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"(30,70]"
34,58,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
34,58,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
34,58,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"(30,70]"
34,58,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
34,58,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
35,39,female,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"(30,70]"
35,39,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
35,39,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
35,39,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"(30,70]"
35,39,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"(30,70]"
35,39,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"(30,70]"
35,39,female,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
35,39,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
35,39,female,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"(30,70]"
35,39,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
35,39,female,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
35,39,female,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"(30,70]"
36,45,female,krank,masc,fem,GEN,non-initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
36,45,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,fleissig,masc,neut,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"(30,70]"
37,32,male,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
37,32,male,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
37,32,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"(30,70]"
37,32,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"(30,70]"
37,32,male,straff,fem,neut,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
37,32,male,blond,fem,masc,GEN,non-initial,N2,NO,NN1,N2,"(30,70]"
37,32,male,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
37,32,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"(30,70]"
40,24,female,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
40,24,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
40,24,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
40,24,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
40,24,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
40,24,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
40,24,female,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
40,24,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
40,24,female,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
40,24,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
40,24,female,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
40,24,female,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"[16,30]"
41,62,female,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"(30,70]"
41,62,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
41,62,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
41,62,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"(30,70]"
41,62,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"(30,70]"
41,62,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"(30,70]"
41,62,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
42,59,male,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"(30,70]"
42,59,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"(30,70]"
42,59,male,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
42,59,male,fleissig,masc,neut,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
42,59,male,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
42,59,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"(30,70]"
43,50,male,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
43,50,male,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"(30,70]"
43,50,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"(30,70]"
43,50,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"(30,70]"
43,50,male,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"(30,70]"
43,50,male,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"(30,70]"
